profileId,openness,conscientiousness,extraversion,agreeableness,neuroticism,idealCareer
1,0.85,0.72,0.35,0.68,0.28,Data Analyst
2,0.92,0.45,0.89,0.75,0.15,Marketing Manager
3,0.67,0.88,0.42,0.91,0.22,Teacher
4,0.78,0.94,0.38,0.85,0.18,Software Engineer
5,0.55,0.63,0.95,0.72,0.12,Sales Representative
6,0.93,0.76,0.88,0.69,0.25,Creative Director
7,0.42,0.95,0.31,0.88,0.19,Accountant
8,0.88,0.58,0.92,0.77,0.35,Public Relations Specialist
9,0.65,0.87,0.45,0.93,0.14,Counselor
10,0.79,0.69,0.85,0.84,0.28,Project Manager
11,0.96,0.52,0.78,0.65,0.42,Artist
12,0.38,0.92,0.25,0.76,0.16,Financial Analyst
13,0.82,0.71,0.89,0.88,0.23,Human Resources Manager
14,0.74,0.85,0.42,0.79,0.31,Research Scientist
15,0.59,0.68,0.94,0.82,0.17,Event Coordinator
16,0.91,0.77,0.86,0.73,0.29,Business Consultant
17,0.45,0.89,0.33,0.91,0.21,Quality Assurance Specialist
18,0.86,0.62,0.91,0.75,0.38,Marketing Coordinator
19,0.72,0.94,0.39,0.87,0.15,Operations Manager
20,0.68,0.56,0.97,0.83,0.24,Customer Service Manager
21,0.94,0.73,0.82,0.71,0.32,UX Designer
22,0.41,0.96,0.28,0.85,0.18,Database Administrator
23,0.83,0.69,0.88,0.89,0.26,Social Worker
24,0.76,0.81,0.47,0.78,0.34,Product Manager
25,0.62,0.75,0.93,0.86,0.19,Training Coordinator
26,0.89,0.58,0.85,0.67,0.41,Graphic Designer
27,0.47,0.93,0.32,0.82,0.22,Systems Analyst
28,0.84,0.66,0.89,0.91,0.27,Community Outreach Coordinator
29,0.71,0.88,0.44,0.79,0.16,Technical Writer
30,0.65,0.74,0.96,0.84,0.33,Sales Manager
31,0.92,0.79,0.81,0.75,0.25,Content Creator
32,0.39,0.91,0.29,0.88,0.20,IT Support Specialist
33,0.87,0.63,0.92,0.76,0.36,Brand Manager
34,0.73,0.86,0.41,0.93,0.18,School Counselor
35,0.58,0.72,0.94,0.81,0.29,Event Planner
36,0.95,0.55,0.87,0.69,0.43,Creative Writer
37,0.44,0.94,0.26,0.87,0.17,Compliance Officer
38,0.81,0.68,0.91,0.85,0.31,Client Relations Manager
39,0.69,0.89,0.46,0.78,0.24,Business Analyst
40,0.64,0.76,0.95,0.89,0.21,Recruitment Specialist
